timestamp, power.draw [W], temperature.gpu, clocks.current.sm [MHz], clocks.current.memory [MHz]
2026/04/28 19:58:38.546, 138.22 W, 86, 1575 MHz, 7301 MHz
2026/04/28 19:58:39.546, 141.72 W, 88, 1552 MHz, 7301 MHz
2026/04/28 19:58:40.546, 142.76 W, 89, 1612 MHz, 7301 MHz
2026/04/28 19:58:41.546, 142.63 W, 88, 1597 MHz, 7301 MHz
2026/04/28 19:58:42.546, 140.82 W, 89, 1590 MHz, 7301 MHz
2026/04/28 19:58:43.546, 141.71 W, 87, 1792 MHz, 7301 MHz
2026/04/28 19:58:44.546, 147.07 W, 89, 1552 MHz, 7301 MHz
2026/04/28 19:58:45.546, 143.08 W, 89, 1770 MHz, 7301 MHz
2026/04/28 19:58:46.547, 139.79 W, 87, 1537 MHz, 7301 MHz
2026/04/28 19:58:47.547, 135.74 W, 88, 1725 MHz, 7301 MHz
2026/04/28 19:58:48.547, 136.90 W, 87, 1762 MHz, 7301 MHz
2026/04/28 19:58:49.547, 145.59 W, 89, 1597 MHz, 7301 MHz
2026/04/28 19:58:50.547, 144.42 W, 88, 1717 MHz, 7301 MHz
2026/04/28 19:58:51.547, 142.59 W, 88, 1605 MHz, 7301 MHz
2026/04/28 19:58:52.547, 141.30 W, 89, 1605 MHz, 7301 MHz
2026/04/28 19:58:53.547, 143.45 W, 87, 1762 MHz, 7301 MHz
2026/04/28 19:58:54.547, 144.63 W, 87, 1785 MHz, 7301 MHz
2026/04/28 19:58:55.548, 143.77 W, 89, 1537 MHz, 7301 MHz
2026/04/28 19:58:56.548, 143.21 W, 90, 1507 MHz, 7301 MHz
2026/04/28 19:58:57.548, 132.72 W, 88, 1755 MHz, 7301 MHz
2026/04/28 19:58:58.548, 145.51 W, 87, 1665 MHz, 7301 MHz
2026/04/28 19:58:59.548, 144.56 W, 86, 1665 MHz, 7301 MHz
2026/04/28 19:59:00.548, 141.07 W, 87, 1507 MHz, 7301 MHz
2026/04/28 19:59:01.548, 143.04 W, 89, 1507 MHz, 7301 MHz
2026/04/28 19:59:02.548, 140.52 W, 90, 1515 MHz, 7301 MHz
2026/04/28 19:59:03.549, 134.49 W, 87, 1777 MHz, 7301 MHz
2026/04/28 19:59:04.549, 140.38 W, 87, 1777 MHz, 7301 MHz
2026/04/28 19:59:05.549, 140.29 W, 83, 1395 MHz, 7301 MHz
2026/04/28 19:59:06.549, 137.88 W, 89, 1755 MHz, 7301 MHz
2026/04/28 19:59:07.549, 141.41 W, 87, 1582 MHz, 7301 MHz
2026/04/28 19:59:08.569, 137.64 W, 88, 1680 MHz, 7301 MHz
2026/04/28 19:59:09.569, 137.33 W, 86, 1762 MHz, 7301 MHz
2026/04/28 19:59:10.569, 144.82 W, 87, 1665 MHz, 7301 MHz
2026/04/28 19:59:11.569, 148.71 W, 91, 1507 MHz, 7301 MHz
2026/04/28 19:59:12.569, 141.97 W, 89, 1740 MHz, 7301 MHz
2026/04/28 19:59:13.588, 142.32 W, 87, 1702 MHz, 7301 MHz
2026/04/28 19:59:14.589, 137.74 W, 87, 1635 MHz, 7301 MHz
2026/04/28 19:59:15.589, 147.13 W, 87, 1642 MHz, 7301 MHz
2026/04/28 19:59:16.589, 146.15 W, 89, 1627 MHz, 7301 MHz
2026/04/28 19:59:17.589, 143.67 W, 90, 1455 MHz, 7301 MHz
2026/04/28 19:59:18.589, 140.54 W, 87, 1612 MHz, 7301 MHz
2026/04/28 19:59:19.589, 142.66 W, 87, 1717 MHz, 7301 MHz
2026/04/28 19:59:20.589, 140.11 W, 87, 1560 MHz, 7301 MHz
2026/04/28 19:59:21.589, 142.72 W, 89, 1770 MHz, 7301 MHz
2026/04/28 19:59:22.589, 134.98 W, 88, 1837 MHz, 7301 MHz
2026/04/28 19:59:23.589, 147.36 W, 88, 1732 MHz, 7301 MHz
2026/04/28 19:59:24.589, 145.94 W, 89, 1567 MHz, 7301 MHz
2026/04/28 19:59:25.590, 142.18 W, 86, 1597 MHz, 7301 MHz
2026/04/28 19:59:26.591, 137.30 W, 87, 1725 MHz, 7301 MHz
2026/04/28 19:59:27.591, 141.77 W, 89, 1687 MHz, 7301 MHz
2026/04/28 19:59:28.591, 146.38 W, 88, 1755 MHz, 7301 MHz
2026/04/28 19:59:29.591, 139.18 W, 87, 1762 MHz, 7301 MHz
2026/04/28 19:59:30.591, 141.60 W, 90, 1597 MHz, 7301 MHz
2026/04/28 19:59:31.591, 146.49 W, 88, 1845 MHz, 7301 MHz
2026/04/28 19:59:32.591, 139.96 W, 88, 1702 MHz, 7301 MHz
2026/04/28 19:59:33.591, 141.04 W, 90, 1612 MHz, 7301 MHz
2026/04/28 19:59:34.591, 144.58 W, 88, 1822 MHz, 7301 MHz
2026/04/28 19:59:35.591, 138.46 W, 87, 1612 MHz, 7301 MHz
2026/04/28 19:59:36.592, 139.10 W, 87, 1605 MHz, 7301 MHz
