timestamp, power.draw [W], temperature.gpu, clocks.current.sm [MHz], clocks.current.memory [MHz]
2026/04/28 20:39:13.694, 96.50 W, 73, 1485 MHz, 7301 MHz
2026/04/28 20:39:14.694, 99.39 W, 72, 1552 MHz, 7301 MHz
2026/04/28 20:39:15.695, 101.09 W, 74, 1522 MHz, 7301 MHz
2026/04/28 20:39:16.695, 94.66 W, 73, 1552 MHz, 7301 MHz
2026/04/28 20:39:17.695, 98.89 W, 72, 1552 MHz, 7301 MHz
2026/04/28 20:39:18.695, 99.87 W, 72, 1552 MHz, 7301 MHz
2026/04/28 20:39:19.695, 98.21 W, 74, 1552 MHz, 7301 MHz
2026/04/28 20:39:20.695, 97.06 W, 73, 1552 MHz, 7301 MHz
2026/04/28 20:39:21.695, 98.95 W, 72, 1552 MHz, 7301 MHz
2026/04/28 20:39:22.695, 101.57 W, 73, 1552 MHz, 7301 MHz
2026/04/28 20:39:23.696, 97.83 W, 73, 1530 MHz, 7301 MHz
2026/04/28 20:39:24.696, 99.45 W, 73, 1462 MHz, 7301 MHz
2026/04/28 20:39:25.696, 100.15 W, 72, 1552 MHz, 7301 MHz
2026/04/28 20:39:26.696, 100.15 W, 73, 1552 MHz, 7301 MHz
2026/04/28 20:39:27.696, 97.25 W, 74, 1552 MHz, 7301 MHz
2026/04/28 20:39:28.696, 97.83 W, 72, 1552 MHz, 7301 MHz
2026/04/28 20:39:29.696, 99.61 W, 72, 1552 MHz, 7301 MHz
2026/04/28 20:39:30.696, 98.83 W, 74, 1462 MHz, 7301 MHz
2026/04/28 20:39:31.696, 95.25 W, 72, 1552 MHz, 7301 MHz
2026/04/28 20:39:32.697, 99.63 W, 72, 1515 MHz, 7301 MHz
2026/04/28 20:39:33.697, 100.27 W, 73, 1552 MHz, 7301 MHz
2026/04/28 20:39:34.697, 98.28 W, 73, 1552 MHz, 7301 MHz
2026/04/28 20:39:35.697, 98.29 W, 72, 1552 MHz, 7301 MHz
2026/04/28 20:39:36.697, 100.16 W, 73, 1552 MHz, 7301 MHz
2026/04/28 20:39:37.697, 101.92 W, 74, 1552 MHz, 7301 MHz
2026/04/28 20:39:38.697, 98.06 W, 75, 1432 MHz, 7301 MHz
2026/04/28 20:39:39.697, 99.12 W, 73, 1552 MHz, 7301 MHz
2026/04/28 20:39:40.698, 101.09 W, 74, 1365 MHz, 7301 MHz
2026/04/28 20:39:41.698, 100.56 W, 74, 1552 MHz, 7301 MHz
2026/04/28 20:39:42.698, 98.08 W, 74, 1552 MHz, 7301 MHz
2026/04/28 20:39:43.698, 100.19 W, 72, 1552 MHz, 7301 MHz
2026/04/28 20:39:44.698, 100.53 W, 73, 1552 MHz, 7301 MHz
2026/04/28 20:39:45.698, 99.52 W, 74, 1470 MHz, 7301 MHz
2026/04/28 20:39:46.698, 97.54 W, 73, 1552 MHz, 7301 MHz
2026/04/28 20:39:47.698, 98.41 W, 71, 1552 MHz, 7301 MHz
2026/04/28 20:39:48.698, 93.15 W, 73, 1552 MHz, 7301 MHz
2026/04/28 20:39:49.699, 92.76 W, 71, 1552 MHz, 7301 MHz
2026/04/28 20:39:50.699, 88.94 W, 71, 1552 MHz, 7301 MHz
2026/04/28 20:39:51.699, 90.64 W, 72, 1552 MHz, 7301 MHz
2026/04/28 20:39:52.699, 94.19 W, 73, 1552 MHz, 7301 MHz
2026/04/28 20:39:53.699, 91.35 W, 71, 1552 MHz, 7301 MHz
2026/04/28 20:39:54.699, 88.73 W, 70, 1552 MHz, 7301 MHz
2026/04/28 20:39:55.699, 87.18 W, 70, 1552 MHz, 7301 MHz
2026/04/28 20:39:56.699, 92.39 W, 72, 1552 MHz, 7301 MHz
2026/04/28 20:39:57.700, 91.43 W, 72, 1552 MHz, 7301 MHz
2026/04/28 20:39:58.700, 89.18 W, 70, 1552 MHz, 7301 MHz
2026/04/28 20:39:59.700, 89.17 W, 70, 1552 MHz, 7301 MHz
2026/04/28 20:40:00.700, 87.41 W, 69, 1552 MHz, 7301 MHz
2026/04/28 20:40:01.700, 86.94 W, 69, 1552 MHz, 7301 MHz
2026/04/28 20:40:02.700, 90.81 W, 71, 1552 MHz, 7301 MHz
2026/04/28 20:40:03.700, 92.85 W, 72, 1552 MHz, 7301 MHz
2026/04/28 20:40:04.700, 91.54 W, 71, 1552 MHz, 7301 MHz
2026/04/28 20:40:05.700, 89.31 W, 70, 1552 MHz, 7301 MHz
2026/04/28 20:40:06.701, 88.13 W, 70, 1552 MHz, 7301 MHz
2026/04/28 20:40:07.701, 89.87 W, 70, 1552 MHz, 7301 MHz
2026/04/28 20:40:08.701, 89.40 W, 69, 1552 MHz, 7301 MHz
2026/04/28 20:40:09.701, 89.14 W, 70, 1552 MHz, 7301 MHz
2026/04/28 20:40:10.701, 92.99 W, 71, 1552 MHz, 7301 MHz
2026/04/28 20:40:11.701, 91.58 W, 71, 1552 MHz, 7301 MHz
2026/04/28 20:40:12.701, 91.53 W, 70, 1552 MHz, 7301 MHz
2026/04/28 20:40:13.701, 90.00 W, 70, 1552 MHz, 7301 MHz
2026/04/28 20:40:14.701, 90.46 W, 69, 1552 MHz, 7301 MHz
2026/04/28 20:40:15.702, 91.06 W, 69, 1552 MHz, 7301 MHz
2026/04/28 20:40:16.702, 91.65 W, 70, 1552 MHz, 7301 MHz
2026/04/28 20:40:17.702, 94.30 W, 71, 1552 MHz, 7301 MHz
2026/04/28 20:40:18.702, 95.56 W, 71, 1552 MHz, 7301 MHz
2026/04/28 20:40:19.702, 92.74 W, 70, 1552 MHz, 7301 MHz
2026/04/28 20:40:20.702, 91.25 W, 69, 1552 MHz, 7301 MHz
2026/04/28 20:40:21.702, 91.33 W, 70, 1552 MHz, 7301 MHz
2026/04/28 20:40:22.702, 91.65 W, 70, 1552 MHz, 7301 MHz
